State,Sex,Year,Incidence,Mortality,Population
1,Alabama,Female,1999,8612,3617,NA
2,Alabama,Female,2000,8702,3761,2302835
3,Alabama,Female,2001,9123,3865,2309496
4,Alabama,Female,2002,9223,3787,2314370
5,Alabama,Female,2003,8766,3832,2324069
6,Alabama,Female,2004,9354,3901,2337857
7,Alabama,Female,2005,9663,4004,2356423
8,Alabama,Female,2006,9715,3865,2385480
9,Alabama,Female,2007,10076,3932,2407275
10,Alabama,Female,2008,10618,4009,2430257
11,Alabama,Female,2009,10545,4057,2448159
12,Alabama,Female,2010,10614,4006,2459548
13,Alabama,Female,2011,10586,3981,2468602
14,Alabama,Female,2012,10883,3981,2477673
15,Alabama,Female,2013,11055,4031,2485478
16,Alabama,Female,2014,11231,4112,2492545
17,Alabama,Female,2015,11547,4034,2498667
18,Alabama,Female,2016,11822,4133,2505943
19,Alabama,Female,2017,11618,4041,2513917
20,Alabama,Female,2018,11937,4234,2522346
21,Alabama,Female,2019,12116,4035,2531653
22,Alabama,Female,2020,11433,4040,2583861
23,Alabama,Female,2021,12102,4034,2595733
24,Alabama,Male,1999,9181,4376,NA
25,Alabama,Male,2000,9555,4651,2149338
26,Alabama,Male,2001,10198,4551,2158138
27,Alabama,Male,2002,10288,4614,2165719
28,Alabama,Male,2003,10351,4637,2179422
29,Alabama,Male,2004,10982,4618,2192872
30,Alabama,Male,2005,11223,4669,2213382
31,Alabama,Male,2006,11795,4721,2243501
32,Alabama,Male,2007,12204,4894,2265565
33,Alabama,Male,2008,12545,4866,2287949
34,Alabama,Male,2009,12537,4954,2309779
35,Alabama,Male,2010,12596,4934,2320188
36,Alabama,Male,2011,12598,5020,2314978
37,Alabama,Male,2012,12461,5011,2322262
38,Alabama,Male,2013,12320,5031,2329279
39,Alabama,Male,2014,12217,4883,2334342
40,Alabama,Male,2015,12853,5031,2340037
41,Alabama,Male,2016,13223,4945,2344400
42,Alabama,Male,2017,13412,4950,2347548
43,Alabama,Male,2018,13202,5008,2351497
44,Alabama,Male,2019,13373,4864,2357694
45,Alabama,Male,2020,11910,4953,2436195
46,Alabama,Male,2021,12808,4817,2442520
47,Alaska,Female,1999,843,167,NA
48,Alaska,Female,2000,860,228,303213
49,Alaska,Female,2001,867,189,305579
50,Alaska,Female,2002,817,192,309633
51,Alaska,Female,2003,902,164,313034
52,Alaska,Female,2004,960,191,317807
53,Alaska,Female,2005,1022,213,320920
54,Alaska,Female,2006,1029,246,325121
55,Alaska,Female,2007,1043,264,327138
56,Alaska,Female,2008,1117,265,329412
57,Alaska,Female,2009,1090,256,337002
58,Alaska,Female,2010,1199,246,340603
59,Alaska,Female,2011,1159,246,343359
60,Alaska,Female,2012,1235,262,346449
61,Alaska,Female,2013,1201,310,348247
62,Alaska,Female,2014,1266,271,347662
63,Alaska,Female,2015,1291,276,348293
64,Alaska,Female,2016,1244,303,350322
65,Alaska,Female,2017,1279,249,350333
66,Alaska,Female,2018,1284,281,348630
67,Alaska,Female,2019,1468,274,347065
68,Alaska,Female,2020,1287,249,344720
69,Alaska,Female,2021,1347,306,345328
70,Alaska,Male,1999,910,198,NA
71,Alaska,Male,2000,946,232,324750
72,Alaska,Male,2001,1012,203,328135
73,Alaska,Male,2002,1114,237,332704
74,Alaska,Male,2003,1052,298,335380
75,Alaska,Male,2004,1183,251,341479
76,Alaska,Male,2005,1070,250,346026
77,Alaska,Male,2006,1163,277,350181
78,Alaska,Male,2007,1218,276,353162
79,Alaska,Male,2008,1249,331,358043
80,Alaska,Male,2009,1349,363,361893
81,Alaska,Male,2010,1334,319,369628
82,Alaska,Male,2011,1330,425,359721
83,Alaska,Male,2012,1217,379,363013
84,Alaska,Male,2013,1255,361,365225
85,Alaska,Male,2014,1299,383,366507
86,Alaska,Male,2015,1333,348,367186
87,Alaska,Male,2016,1451,379,369595
88,Alaska,Male,2017,1446,389,368154
89,Alaska,Male,2018,1519,401,367078
90,Alaska,Male,2019,1533,401,365049
91,Alaska,Male,2020,1458,429,366901
92,Alaska,Male,2021,1567,496,367299
93,Arizona,Female,1999,9279,3633,NA
94,Arizona,Female,2000,9659,3685,2584579
95,Arizona,Female,2001,10185,3827,2641676
96,Arizona,Female,2002,10220,3741,2704217
97,Arizona,Female,2003,10124,3869,2764077
98,Arizona,Female,2004,10617,3894,2835606
99,Arizona,Female,2005,10918,4009,2930811
100,Arizona,Female,2006,11337,4034,3026134
101,Arizona,Female,2007,11905,4106,3096998
102,Arizona,Female,2008,12303,4066,3155278
103,Arizona,Female,2009,12880,4132,3189908
104,Arizona,Female,2010,12867,4244,3216194
105,Arizona,Female,2011,13233,4297,3251565
106,Arizona,Female,2012,13409,4420,3292783
107,Arizona,Female,2013,13590,4693,3332998
108,Arizona,Female,2014,14091,4604,3381319
109,Arizona,Female,2015,14371,4729,3431091
110,Arizona,Female,2016,14772,4716,3487840
111,Arizona,Female,2017,14930,4736,3540277
112,Arizona,Female,2018,15540,4684,3597645
113,Arizona,Female,2019,16019,4898,3658425
114,Arizona,Female,2020,14979,4989,3592868
115,Arizona,Female,2021,15384,5058,3638162
116,Arizona,Male,1999,10309,4202,NA
117,Arizona,Male,2000,10510,4197,2576007
118,Arizona,Male,2001,10988,4120,2631801
119,Arizona,Male,2002,11054,4482,2692038
120,Arizona,Male,2003,11506,4542,2746287
121,Arizona,Male,2004,11585,4526,2816798
122,Arizona,Male,2005,12070,4668,2908266
123,Arizona,Male,2006,12724,4666,3003007
124,Arizona,Male,2007,13170,4759,3070683
125,Arizona,Male,2008,12633,4773,3125084
126,Arizona,Male,2009,13124,4793,3153246
127,Arizona,Male,2010,12945,5004,3175823
128,Arizona,Male,2011,13411,5052,3199746
129,Arizona,Male,2012,13028,5384,3242196
130,Arizona,Male,2013,13701,5213,3279244
131,Arizona,Male,2014,14502,5426,3329452
132,Arizona,Male,2015,14869,5530,3380523
133,Arizona,Male,2016,14896,5629,3434276
134,Arizona,Male,2017,15825,5730,3485539
135,Arizona,Male,2018,16458,5809,3540752
136,Arizona,Male,2019,16604,5713,3600665
137,Arizona,Male,2020,15474,5871,3573429
138,Arizona,Male,2021,15636,5917,3614567
139,Arkansas,Female,1999,5427,2421,NA
140,Arkansas,Female,2000,5453,2407,1371015
141,Arkansas,Female,2001,5665,2429,1376845
142,Arkansas,Female,2002,5530,2480,1383239
143,Arkansas,Female,2003,5646,2395,1391523
144,Arkansas,Female,2004,5810,2597,1403048
145,Arkansas,Female,2005,5794,2511,1418295
146,Arkansas,Female,2006,5993,2435,1438428
147,Arkansas,Female,2007,6159,2610,1451358
148,Arkansas,Female,2008,6122,2527,1464220
149,Arkansas,Female,2009,6137,2500,1475013
150,Arkansas,Female,2010,6345,2574,1484281
151,Arkansas,Female,2011,6277,2514,1495451
152,Arkansas,Female,2012,6593,2553,1501133
153,Arkansas,Female,2013,7013,2603,1505118
154,Arkansas,Female,2014,7088,2550,1509162
155,Arkansas,Female,2015,7345,2551,1514185
156,Arkansas,Female,2016,7454,2543,1520203
157,Arkansas,Female,2017,7442,2553,1525909
158,Arkansas,Female,2018,7745,2475,1530845
159,Arkansas,Female,2019,8004,2457,1535409
160,Arkansas,Female,2020,7059,2485,1524922
161,Arkansas,Female,2021,7510,2516,1532461
162,Arkansas,Male,1999,6242,2985,NA
163,Arkansas,Male,2000,6380,2995,1307573
164,Arkansas,Male,2001,6447,3008,1314726
165,Arkansas,Male,2002,6703,3074,1322688
166,Arkansas,Male,2003,7001,2954,1333293
167,Arkansas,Male,2004,6890,2997,1346638
168,Arkansas,Male,2005,7202,3135,1362802
169,Arkansas,Male,2006,7241,3012,1383333
170,Arkansas,Male,2007,7537,3006,1397292
171,Arkansas,Male,2008,7197,3207,1410334
172,Arkansas,Male,2009,6948,3257,1421830
173,Arkansas,Male,2010,6947,3206,1431637
174,Arkansas,Male,2011,6985,3230,1438640
175,Arkansas,Male,2012,6883,3274,1444475
176,Arkansas,Male,2013,7088,3271,1447541
177,Arkansas,Male,2014,7367,3177,1451457
178,Arkansas,Male,2015,7651,3245,1458337
179,Arkansas,Male,2016,7636,3144,1464528
180,Arkansas,Male,2017,7938,3041,1469728
181,Arkansas,Male,2018,8286,2986,1473626
182,Arkansas,Male,2019,8674,3073,1477133
183,Arkansas,Male,2020,7206,3108,1485489
184,Arkansas,Male,2021,7346,3130,1492165
185,California,Female,1999,61894,22448,NA
186,California,Female,2000,62250,22997,17050415
187,California,Female,2001,63100,23178,17294223
188,California,Female,2002,64073,23137,17498462
189,California,Female,2003,63024,23333,17709509
190,California,Female,2004,64011,22928,17871415
191,California,Female,2005,65973,23299,17996230
192,California,Female,2006,66290,23146,18097471
193,California,Female,2007,68354,23325,18214926
194,California,Female,2008,70523,23261,18396972
195,California,Female,2009,71320,23594,18583075
196,California,Female,2010,71663,23729,18736126
197,California,Female,2011,72222,23667,18923003
198,California,Female,2012,74145,24133,19079833
199,California,Female,2013,74721,23945,19240410
200,California,Female,2014,77072,24126,19406148
201,California,Female,2015,79138,24486,19561062
202,California,Female,2016,79111,24374,19682563
203,California,Female,2017,80188,24514,19771012
204,California,Female,2018,81087,24235,19819350
205,California,Female,2019,83390,24248,19843586
206,California,Female,2020,75001,24186,19727377
207,California,Female,2021,82870,23996,19560718
208,California,Male,1999,63116,23918,NA
209,California,Male,2000,63607,23655,16937562
210,California,Male,2001,65547,24091,17185235
211,California,Male,2002,66352,24330,17373381
212,California,Male,2003,65670,24233,17543650
213,California,Male,2004,68170,24073,17703161
214,California,Male,2005,68050,24541,17831713
215,California,Male,2006,69332,24226,17923731
216,California,Male,2007,72872,24681,18035385
217,California,Male,2008,72625,24524,18207365
218,California,Male,2009,73904,25273,18378154
219,California,Male,2010,74184,25277,18517830
220,California,Male,2011,74316,25537,18562352
221,California,Male,2012,72516,25865,18715941
222,California,Male,2013,72793,26048,18864298
223,California,Male,2014,72962,26345,19037707
224,California,Male,2015,74737,27038,19201123
225,California,Male,2016,75480,26799,19326975
226,California,Male,2017,77331,26604,19426767
227,California,Male,2018,77301,26997,19486140
228,California,Male,2019,80905,26647,19512555
229,California,Male,2020,73606,26897,19630136
230,California,Male,2021,79433,26436,19437781
231,Colorado,Female,1999,7382,2478,NA
232,Colorado,Female,2000,7510,2437,2147742
233,Colorado,Female,2001,7881,2601,2195705
234,Colorado,Female,2002,7926,2641,2228665
235,Colorado,Female,2003,8081,2664,2253214
236,Colorado,Female,2004,8077,2648,2274511
237,Colorado,Female,2005,8401,2739,2308238
238,Colorado,Female,2006,8433,2721,2352960
239,Colorado,Female,2007,8934,2725,2396433
240,Colorado,Female,2008,9223,2707,2439060
241,Colorado,Female,2009,9605,2905,2480710
242,Colorado,Female,2010,9645,2919,2508534
243,Colorado,Female,2011,9723,2874,2549600
244,Colorado,Female,2012,10058,3049,2584270
245,Colorado,Female,2013,10265,2991,2621135
246,Colorado,Female,2014,10476,3022,2658481
247,Colorado,Female,2015,10664,3011,2705576
248,Colorado,Female,2016,11076,3114,2746985
249,Colorado,Female,2017,11473,3164,2780872
250,Colorado,Female,2018,11461,3042,2819664
251,Colorado,Female,2019,11757,3175,2851526
252,Colorado,Female,2020,10990,3242,2849053
253,Colorado,Female,2021,11809,3191,2862221
254,Colorado,Male,1999,7463,2587,NA
255,Colorado,Male,2000,7843,2628,2179179
256,Colorado,Male,2001,8167,2639,2229982
