State,Year,Incidence,Mortality,Population
1,Alabama,1999,17793,7993,0
2,Alabama,2000,18257,8412,4452173
3,Alabama,2001,19321,8416,4467634
4,Alabama,2002,19511,8401,4480089
5,Alabama,2003,19117,8469,4503491
6,Alabama,2004,20336,8519,4530729
7,Alabama,2005,20886,8673,4569805
8,Alabama,2006,21510,8586,4628981
9,Alabama,2007,22280,8826,4672840
10,Alabama,2008,23163,8875,4718206
11,Alabama,2009,23082,9011,4757938
12,Alabama,2010,23210,8940,4779736
13,Alabama,2011,23184,9001,4783580
14,Alabama,2012,23344,8992,4799935
15,Alabama,2013,23375,9062,4814757
16,Alabama,2014,23448,8995,4826887
17,Alabama,2015,24400,9065,4838704
18,Alabama,2016,25045,9078,4850343
19,Alabama,2017,25030,8991,4861465
20,Alabama,2018,25139,9242,4873843
21,Alabama,2019,25489,8899,4889347
22,Alabama,2020,23343,8993,5020056
23,Alabama,2021,24910,8851,5038253
24,Alaska,1999,1753,365,0
25,Alaska,2000,1806,460,627963
26,Alaska,2001,1879,392,633714
27,Alaska,2002,1931,429,642337
28,Alaska,2003,1954,462,648414
29,Alaska,2004,2143,442,659286
30,Alaska,2005,2092,463,666946
31,Alaska,2006,2192,523,675302
32,Alaska,2007,2261,540,680300
33,Alaska,2008,2366,596,687455
34,Alaska,2009,2439,619,698895
35,Alaska,2010,2533,565,710231
36,Alaska,2011,2489,671,703080
37,Alaska,2012,2452,641,709462
38,Alaska,2013,2456,671,713472
39,Alaska,2014,2565,654,714169
40,Alaska,2015,2624,624,715479
41,Alaska,2016,2695,682,719917
42,Alaska,2017,2725,638,718487
43,Alaska,2018,2803,682,715708
44,Alaska,2019,3001,675,712114
45,Alaska,2020,2745,678,711621
46,Alaska,2021,2914,802,712627
47,Arizona,1999,19588,7835,0
48,Arizona,2000,20169,7882,5160586
49,Arizona,2001,21173,7947,5273477
50,Arizona,2002,21274,8223,5396255
51,Arizona,2003,21630,8411,5510364
52,Arizona,2004,22202,8420,5652404
53,Arizona,2005,22988,8677,5839077
54,Arizona,2006,24061,8700,6029141
55,Arizona,2007,25075,8865,6167681
56,Arizona,2008,24936,8839,6280362
57,Arizona,2009,26004,8925,6343154
58,Arizona,2010,25812,9248,6392017
59,Arizona,2011,26644,9349,6451311
60,Arizona,2012,26437,9804,6534979
61,Arizona,2013,27291,9906,6612242
62,Arizona,2014,28593,10030,6710771
63,Arizona,2015,29240,10259,6811614
64,Arizona,2016,29668,10345,6922116
65,Arizona,2017,30755,10466,7025816
66,Arizona,2018,31998,10493,7138397
67,Arizona,2019,32623,10611,7259090
68,Arizona,2020,30453,10860,7166297
69,Arizona,2021,31020,10975,7252729
70,Arkansas,1999,11669,5406,0
71,Arkansas,2000,11833,5402,2678588
72,Arkansas,2001,12112,5437,2691571
73,Arkansas,2002,12233,5554,2705927
74,Arkansas,2003,12647,5349,2724816
75,Arkansas,2004,12700,5594,2749686
76,Arkansas,2005,12996,5646,2781097
77,Arkansas,2006,13234,5447,2821761
78,Arkansas,2007,13696,5616,2848650
79,Arkansas,2008,13319,5734,2874554
80,Arkansas,2009,13085,5757,2896843
81,Arkansas,2010,13292,5780,2915918
82,Arkansas,2011,13262,5744,2934091
83,Arkansas,2012,13476,5827,2945608
84,Arkansas,2013,14101,5874,2952659
85,Arkansas,2014,14455,5727,2960619
86,Arkansas,2015,14996,5796,2972522
87,Arkansas,2016,15090,5687,2984731
88,Arkansas,2017,15380,5594,2995637
89,Arkansas,2018,16031,5461,3004471
90,Arkansas,2019,16678,5530,3012542
91,Arkansas,2020,14265,5593,3010411
92,Arkansas,2021,14856,5646,3024626
93,California,1999,125010,46366,0
94,California,2000,125857,46652,33987977
95,California,2001,128647,47269,34479458
96,California,2002,130425,47467,34871843
97,California,2003,128694,47566,35253159
98,California,2004,132181,47001,35574576
99,California,2005,134023,47840,35827943
100,California,2006,135622,47372,36021202
101,California,2007,141226,48006,36250311
102,California,2008,143148,47785,36604337
103,California,2009,145224,48867,36961229
104,California,2010,145847,49006,37253956
105,California,2011,146538,49204,37485355
106,California,2012,146661,49998,37795774
107,California,2013,147514,49993,38104708
108,California,2014,150034,50471,38443855
109,California,2015,153875,51524,38762185
110,California,2016,154591,51173,39009538
111,California,2017,157519,51118,39197779
112,California,2018,158388,51232,39305490
113,California,2019,164295,50895,39356141
114,California,2020,148607,51083,39357513
115,California,2021,162303,50432,38998499
116,Colorado,1999,14845,5065,0
117,Colorado,2000,15353,5065,4326921
118,Colorado,2001,16048,5240,4425687
119,Colorado,2002,16242,5460,4490406
120,Colorado,2003,16319,5546,4528732
121,Colorado,2004,16514,5380,4575013
122,Colorado,2005,17114,5565,4631888
123,Colorado,2006,17539,5614,4720423
124,Colorado,2007,18892,5706,4803868
125,Colorado,2008,19039,5811,4889730
126,Colorado,2009,19662,6001,4972195
127,Colorado,2010,19538,6032,5029196
128,Colorado,2011,19815,6053,5086961
129,Colorado,2012,19923,6260,5157919
130,Colorado,2013,20340,6276,5232711
131,Colorado,2014,20645,6306,5313914
132,Colorado,2015,21009,6411,5415863
133,Colorado,2016,21550,6693,5505628
134,Colorado,2017,22322,6632,5575734
135,Colorado,2018,22726,6536,5655346
136,Colorado,2019,23557,6703,5722795
